Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Hermanos Sexos,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número)
2/5/2020 13:32:41,Facultad de Psicología,Masculino,36,6,Heterosexual,Cristianismo,168,68,40,16,,14,CCH,"40,32,28","Hombre,hombre,mujer",58,Secundaria,60,Secundaria,Estado de México,Sí,Sí,10,Sí,2
2/5/2020 13:34:27,Facultad de Psicología,Femenino,22,6,Bisexual,Catolicismo,1.5,47,6,18,Sí,1 vez ,Prepa,"25, 8",Mujer y hombre ,45,Bachillerato,40,Licenciatura,Magdalena Contreras,Sí,Sí,1 vez,No,No
2/5/2020 13:40:47,Facultad de Psicología,Femenino,18,2,Bisexual,Ateismo,155,50,1,16,Sí,4-5,Prepa,"36, 33, 30","F, M, F",57,Secundaria,56,Bachillerato,Cuauhtémoc,No,No,0,No,0
2/5/2020 13:42:06,Facultad de Psicología,Femenino,18,2,Heterosexual,Cristianismo,1.6,58,2,17,No,Una vez,CCH,,,38,Secundaria,37,Secundaria,Iztapalapa,No,Sí,Una vez al mes,Sí,1 o 2
2/5/2020 13:46:02,Facultad de Psicología,Femenino,20,4,Heterosexual,Ateismo,1.68,63,1,18,No,0,CCH,12,Masculino,49,Maestría,49,Licenciatura,Benito Juárez,No,Sí,1,No,
2/5/2020 13:46:56,Facultad de Psicología,Femenino,19,4,Heterosexual,Cristianismo,171,76,0,,No,,Prepa,23,Masculino,47,Carrera Técnica,47,Secundaria,Estado de México,No,No,,No,
2/5/2020 13:48:16,Facultad de Psicología,Femenino,19,4,Heterosexual,Ateismo,157,52,2,16,Sí,3 veces a la semana ,CCH,"22,25,31","Femenino, femenino, femenino",57,Bachillerato,52,Carrera Técnica,Milpa Alta,No,Sí,4,No,0
2/5/2020 13:50:43,Facultad de Arquitectura,Femenino,21,4,Heterosexual,Catolicismo,160,58,1,19,No,no,Prepa,27 y 31,masculino ,59,Licenciatura,56,Carrera Técnica,Venustiano Carranza,No,Sí,7,No,no
2/5/2020 13:53:35,Facultad de Arquitectura,Femenino,19,4,Heterosexual,Catolicismo,154,68,0,0,No,,Prepa,15,Masculino ,45,Carrera Técnica,48,Carrera Técnica,Tláhuac,No,Sí,2,No,
2/5/2020 13:54:34,Facultad de Psicología,Femenino,21,8,Heterosexual,Agnosticismo,168,54,3,15,Sí,5,Prepa,"23, 24","Femenino, Masculino",52,Bachillerato,55,Bachillerato,Estado de México,No,Sí,2,No,
2/5/2020 13:55:17,Facultad de Psicología,Femenino,19,4,Heterosexual,Catolicismo,1.58,48,3,18,No,,Privada,13,Hombre,51,Licenciatura,46,Licenciatura,Iztapalapa,No,Sí,1,No,
2/5/2020 13:56:03,Facultad de Psicología,Femenino,21,4,Heterosexual,Catolicismo,162,70,2,19,Sí,2,Prepa,16 y 14,Femenino y masculino,52,Licenciatura,44,Secundaria,Iztapalapa,No,Sí,2,No,
2/5/2020 13:57:43,Facultad de Psicología,Femenino,22,4,Heterosexual,Catolicismo,1.59,52,2,18,Sí,5,Otro,"26, 23","Masculino, femenino",45,Secundaria,46,Secundaria,Coyoacán,No,No,0,No,0
2/5/2020 13:57:53,Facultad de Psicología,Femenino,19,4,Heterosexual,Ateismo,1.6,60,4,16,Sí,3,CCH,21,Masculino,59,Licenciatura,47,Carrera Técnica,Tlalpan,No,Sí,1,No,0
2/5/2020 13:59:39,Facultad de Psicología,Femenino,20,4,Heterosexual,Ateismo,1.65,70,7,15,Sí,4-5 veces ,CCH,"18, 16, 13. ","Masculino, masculino, femenino. ",42,Secundaria,38,Secundaria,Coyoacán,No,Sí,4,No,
2/5/2020 13:59:47,Facultad de Psicología,Femenino,21,2,Heterosexual,Ateismo,1.61,41,2,16,Sí,5,Privada,18,masculino,48,Licenciatura,43,Licenciatura,Tlalpan,No,No,0,No,0
2/5/2020 14:03:39,Facultad de Psicología,Femenino,18,2,Heterosexual,Ateismo,156,53.5,2,18,No,1,Prepa,"3, 10","Mujer, hombre",45,Licenciatura,44,Licenciatura,Iztapalapa,No,Sí,4,No,0
2/5/2020 14:04:07,Facultad de Psicología,Masculino,19,2,Heterosexual,Agnosticismo,175,53,1,17,No,0,Prepa,22,Mujer,60,Licenciatura,55,Licenciatura,Coyoacán,No,Sí,1,No,0
2/5/2020 14:04:15,Facultad de Psicología,Femenino,21,8,Heterosexual,Catolicismo,1.54,50,2,18,No,11,CCH,19,Hombres,46,Secundaria,49,Carrera Técnica,Estado de México,No,Sí,2,No,0
2/5/2020 14:05:59,Facultad de Psicología,Femenino,20,6,Heterosexual,Catolicismo,151,42,8,17,Sí,1,CCH,"32, 34","Mujer, Hombre ",61,Licenciatura,60,Maestría,Azcapotzalco,No,Sí,1,No,
2/5/2020 14:06:41,Facultad de Psicología,Masculino,22,8,Heterosexual,Catolicismo,166,84,0,0,No,0,Prepa,0,0,61,Licenciatura,54,Licenciatura,Iztapalapa,No,No,0,No,0
2/5/2020 14:06:46,Facultad de Psicología,Femenino,20,6,Heterosexual,Cristianismo,1.48,50,1,17,Sí,3,CCH,"24, 32 ","Femenino, Masculino ",55,Secundaria,51,Carrera Técnica,Iztapalapa,No,Sí,1,No,0
2/5/2020 14:07:47,Facultad de Psicología,Masculino,20,6,Heterosexual,Ateismo,1.72,74,12,12,Sí,10,CCH,"16, 28","Femenino, Masculino",41,Licenciatura,41,Licenciatura,Xochimilco,Sí,Sí,1,No,0
2/5/2020 14:07:51,Facultad de Psicología,Femenino,20,6,Heterosexual,Agnosticismo,1.6,65,2,17,No,2,Prepa,"17,27,31",2 hombres 1 mujer ,51,Bachillerato,45,Bachillerato,Tlalpan,No,Sí,1 vez al mes ,No,No 
2/5/2020 14:12:33,Facultad de Psicología,Masculino,18,2,Homosexual,Ateismo,1.67,50,4,15,Sí,2 veces por mes,CCH,"2 hermanos, 22 y 26",Masculino y femenino.,42,Licenciatura,43,Maestría,Estado de México,No,No,Ninguna.,No,Ninguna.
2/5/2020 14:12:46,Facultad de Psicología,Femenino,20,2,Heterosexual,Catolicismo,156,69,0,0,No,0,Otro,"14, 9","Masculino, masculino",49,Licenciatura,48,Licenciatura,Coyoacán,No,No,0,No,0
2/5/2020 14:14:28,Facultad de Psicología,Masculino,18,2,Bisexual,Catolicismo,1.7,73,5,13,Sí,2,Prepa,"26 años, 8 años ",Mujeres,47,Secundaria,45,Secundaria,Iztapalapa,Sí,Sí,20,No,Ninguna
2/5/2020 14:17:13,Facultad de Psicología,Masculino,19,4,Heterosexual,Catolicismo,176,76,5,16,Sí,9,Prepa,29,Mujer,48,Bachillerato,49,Bachillerato,Cuajimalpa de Morelos,Sí,Sí,2,No,0
2/5/2020 14:17:37,Facultad de Psicología,Masculino,20,4,Bisexual,Cristianismo,170,60,,,No,,Prepa,24,Hermana ,49,Secundaria,46,Carrera Técnica,Xochimilco,No,Sí,1,No,
2/5/2020 14:18:40,Facultad de Psicología,Femenino,19,4,Heterosexual,Catolicismo,1.53,48,2,17,No,6,CCH,18,Hombre,51,Carrera Técnica,49,Secundaria,Estado de México,No,Sí,2,No,
2/5/2020 14:19:44,Facultad de Psicología,Femenino,19,4,Heterosexual,Catolicismo,1.55,43,1,17,Sí,7,Prepa,"2, 13, 16","F, M, M",40,Bachillerato,38,,Álvaro Obregón,No,Sí,4,No,0
2/5/2020 14:22:40,Facultad de Psicología,Femenino,18,2,Heterosexual,Catolicismo,1.62,68,1,17,No,,Prepa,,,42,Secundaria,37,Bachillerato,Iztapalapa,No,Sí,1,No,
2/5/2020 14:23:04,Facultad de Psicología,Femenino,19,2,Heterosexual,Agnosticismo,1.6,43,1,18,Sí,4,Privada,"13,16",M F,60,Licenciatura,45,Maestría,Tlalpan,No,No,,No,
2/5/2020 14:23:36,Facultad de Psicología,Femenino,19,2,Bisexual,Catolicismo,147,55,5,15,Sí,8,CCH,"1, 29",Femenino,65,Licenciatura,51,Bachillerato,Gustavo A. Madero,No,Sí,4,No,0
2/5/2020 14:33:26,Facultad de Psicología,Femenino,19,4,Heterosexual,Catolicismo,155,50,1,17,No,,Prepa," 21, 11.","Femenino, masculino ",57,Bachillerato,50,,Xochimilco,No,No,,No,
2/5/2020 14:36:47,Facultad de Arquitectura,Masculino,21,2,Heterosexual,Agnosticismo,175,73,1,18,No,1 año 7 meses la última vez,Prepa,0,0,51,Bachillerato,49,Maestría,Estado de México,No,Sí,1,No,0
2/5/2020 15:38:20,Facultad de Psicología,Femenino,20,4,Bisexual,Catolicismo,154,60,4,16,Sí,1,Prepa,9 y 5 años,Masculino,50,Licenciatura,48,Licenciatura,Coyoacán,No,Sí,1,No,
2/5/2020 15:44:12,Facultad de Ingeniería,Masculino,19,2,Heterosexual,Ateismo,170,60,1,17,Sí,4 veces al mes ,Prepa,15 y 23,Masculino y femenino ,48,Licenciatura,,Bachillerato,Iztacalco,No,No,0,No,0
2/5/2020 15:56:12,Facultad de Medicina,Masculino,27,9,Heterosexual,Catolicismo,169,62,20,15,Sí,4,Privada,,,58,Licenciatura,57,Bachillerato,Magdalena Contreras,Sí,Sí,1,No,
