,Timestamp,Facultad ,Sexo,Edad,Semestre(número),Orientación Sexual,Religión,Estatura(cm),Peso(kg),Cantidad de Parejas Sexuales,Edad Primera Vez,Activo Sexualmente,Frecuencia(Mes),Bachillerato de Origen,Hermanos Edades,Edad Padre,Escolaridad Padre,Edad Madre,Escolaridad Madre,Delegación,Has tenido relaciones con desconocidos,Consumes bebidas alcohólicas,Frecuencia de consumo al mes(número),Consumes marihuana,Frecuencia al mes(número),Hermana Mujer,Hermano Hombre,Hijo Unico,Hermano Menor,Hermano Enmedio,Hermano Mayor
237,2/7/2020 8:43:34,Facultad de Ciencias,Femenino,18,2,Heterosexual,Agnosticismo,165.0,48.0,3.0,17.0,Sí,4,Prepa,0,55.0,Carrera Técnica,51.0,Licenciatura,Miguel Hidalgo,No,No,0,No,0,0,0,0,0,0,1
238,2/7/2020 8:44:03,Facultad de Ciencias,Masculino,18,2,Heterosexual,Ateismo,177.0,69.0,3.0,15.0,Sí,1,Prepa,15,51.0,Carrera Técnica,50.0,Maestría,Estado de México,Sí,Sí,3,No,0,1,0,0,0,0,1
239,2/7/2020 8:44:33,Facultad de Ciencias,Masculino,18,2,Homosexual,Catolicismo,171.0,73.0,5.0,17.0,Sí,1,Prepa,14,41.0,Licenciatura,38.0,Licenciatura,Cuauhtémoc,No,Sí,2,No,0,0,1,0,0,0,1
240,2/7/2020 8:44:49,Facultad de Ciencias,Femenino,20,2,Heterosexual,Ateismo,172.0,59.0,2.0,16.0,Sí,3,Privada,0,56.0,Licenciatura,54.0,Licenciatura,Benito Juárez,No,Sí,3,No,0,0,0,0,0,0,1
241,2/7/2020 8:45:18,Facultad de Ciencias,Masculino,18,2,Heterosexual,Catolicismo,170.0,68.0,1.0,15.0,Sí,1,Prepa,"20, 10",45.0,Bachillerato,44.0,Bachillerato,Benito Juárez,No,Sí,0,No,1,1,0,0,0,1,0
242,2/7/2020 8:45:56,Facultad de Ciencias,Femenino,20,4,Bisexual,Ateismo,170.0,60.0,2.0,16.0,Sí,4,CCH,16,44.0,Carrera Técnica,43.0,Carrera Técnica,Gustavo A. Madero,No,Sí,1,No,0,0,1,0,0,0,1
243,2/7/2020 8:46:00,Facultad de Ciencias,Femenino,19,4,Heterosexual,Ateismo,162.0,49.0,1.0,17.0,Sí,1,Prepa,10,43.0,Bachillerato,42.0,Licenciatura,Gustavo A. Madero,No,Sí,1,No,0,1,0,0,0,0,1
244,2/7/2020 8:49:01,Facultad de Ciencias,Masculino,22,10,Heterosexual,Agnosticismo,181.0,98.0,2.0,20.0,No,0,Prepa,"35,30",69.0,Licenciatura,64.0,Bachillerato,Tlalpan,Sí,Sí,1,No,0,1,0,0,1,0,0
245,2/7/2020 8:49:05,Facultad de Ciencias,Femenino,19,2,Bisexual,Agnosticismo,152.0,51.0,1.0,16.0,Sí,0,Prepa,22,59.0,Doctorado,55.0,Doctorado,Coyoacán,No,Sí,5,No,0,0,0,0,1,0,0
246,2/7/2020 8:50:13,Facultad de Ciencias,Femenino,18,2,Heterosexual,Ateismo,163.0,67.0,1.0,17.0,Sí,1,CCH,15,47.0,Licenciatura,47.0,Licenciatura,Gustavo A. Madero,No,Sí,3,No,0,0,1,0,0,0,1
